reported_frequency
10000000.054726372
9999999.945273636
10000000.004975129
10000000.099502487
10000000.049751244
9999999.950248756
9999999.945273636
9999999.900497513
10000000.099502487
10000000
10000000.004975129
9999999.945273632
10000000
10000000.054726368
10000000
10000000
9999999.945273632
10000000
10000000
10000000.2039801
9999999.950248756
9999999.845771143
10000000.054726368
10000000.099502487
9999999.7960199
10000000.049751244
10000000
9999999.850746268
10000000.199004976
10000000
9999999.950248757
10000000.104477612
9999999.895522388
10000000.253731342
9999999.800995026
9999999.845771143
10000000.154228855
9999999.845771149
10000000.154228859
9999999.945273632
10000000
10000000.104477612
9999999.950248756
10000000.049751244
9999999.895522391
10000000.154228859
9999999.900497513
9999999.945273636
10000000.054726372
10000000.049751244
9999999.845771143
10000000.049751244
9999999.950248756
10000000.104477612
10000000.049751244
9999999.950248756
10000000.149253732
9999999.850746268
9999999.895522388
10000000.049751244
10000000.104477612
9999999.950248756
9999999.945273632
9999999.850746268
10000000
10000000.2039801
9999999.945273632
10000000.054726368
9999999.895522388
10000000.154228855
9999999.7960199
10000000.154228855
9999999.895522388
10000000
10000000.049751244
10000000.104477612
9999999.895522388
10000000.104477612
9999999.7960199
10000000.049751244
10000000.154228855
9999999.7960199
10000000.099502487
10000000.054726368
9999999.945273632
10000000.054726368
10000000.049751244
9999999.950248756
10000000.099502487
9999999.900497513
10000000
9999999.945273632
10000000.154228855
9999999.746268656
10000000.099502487
10000000.054726368
9999999.945273632
10000000
10000000
10000000.154228855
9999999.845771143
9999999.950248756
10000000.104477612
10000000.049751244
9999999.950248756
10000000
10000000.049751244
9999999.895522388
10000000.054726368
9999999.945273632
10000000.104477612
9999999.950248756
9999999.895522388
10000000.049751244
9999999.950248756
9999999.950248756
10000000.099502487
10000000.104477612
9999999.845771143
9999999.950248756
10000000.154228855
9999999.895522388
10000000.049751244
10000000.2039801
9999999.900497513
9999999.950248756
10000000
9999999.945273632
10000000.104477612
9999999.895522388
9999999.850746268
10000000.099502487
10000000.104477612
9999999.945273632
10000000
10000000.054726368
10000000.049751244
9999999.950248756
10000000
10000000
9999999.945273632
10000000
10000000
9999999.950248756
10000000.2039801
9999999.845771143
9999999.950248756
10000000.104477612
9999999.895522388
10000000.154228855
10000000
10000000.099502487
9999999.746268656
9999999.950248756
10000000.303482587
9999999.7960199
9999999.950248756
10000000.104477612
10000000.049751244
9999999.950248756
10000000.049751244
10000000
9999999.7960199
10000000.099502487
10000000
10000000.054726368
10000000.049751244
9999999.7960199
10000000.154228855
9999999.845771143
10000000.099502487
10000000.104477612
10000000
9999999.895522388
10000000.054726368
9999999.945273632
10000000.054726368
10000000
9999999.895522388
10000000.154228855
10000000
9999999.950248756
10000000
10000000
10000000
10000000.049751244
9999999.950248756
10000000
10000000.049751244
9999999.950248756
9999999.895522388
10000000.049751244
10000000.2039801
9999999.7960199
10000000.104477612
10000000
9999999.895522388
10000000.104477612
9999999.845771143
10000000.154228855
9999999.7960199
10000000.099502487
10000000.104477612
9999999.895522388
10000000.154228855
9999999.900497513
10000000.049751244
9999999.895522388
9999999.950248756
10000000
10000000.049751244
10000000.054726368
9999999.945273632
10000000.054726368
10000000
10000000
9999999.945273632
9999999.950248756
10000000.049751244
9999999.950248756
10000000
10000000.104477612
10000000
9999999.945273632
10000000.054726368
9999999.895522388
10000000.049751244
9999999.900497513
10000000.099502487
10000000
10000000
9999999.950248756
10000000.049751244
10000000.104477612
9999999.950248756
9999999.895522388
10000000.049751244
9999999.950248756
10000000.049751244
10000000
10000000.054726368
10000000.049751244
9999999.895522388
10000000.054726368
10000000
10000000
10000000.049751244
10000000
10000000
9999999.746268656
10000000.2039801
9999999.945273632
9999999.950248756
10000000.049751244
10000000.054726368
9999999.845771143
10000000.154228855
10000000
9999999.945273632
10000000
10000000
9999999.950248756
10000000.154228855
9999999.895522388
10000000
10000000.104477612
9999999.895522388
9999999.950248756
10000000
10000000.049751244
10000000
10000000
10000000.054726368
9999999.895522388
9999999.950248756
10000000.099502487
9999999.950248756
10000000.049751244
10000000
10000000
9999999.950248756
10000000.049751244
10000000
10000000.054726368
10000000
9999999.895522388
10000000.154228855
9999999.950248756
10000000
9999999.895522388
10000000.104477612
10000000.049751244
9999999.950248756
10000000
9999999.895522388
10000000.154228855
10000000
9999999.7960199
10000000.2039801
9999999.895522388
10000000.104477612
9999999.746268656
10000000.149253732
10000000.054726368
9999999.945273632
10000000
10000000.054726368
9999999.895522388
10000000.154228855
9999999.895522388
10000000
10000000
10000000.054726368
9999999.895522388
10000000.104477612
10000000
9999999.845771143
10000000.154228855
9999999.945273632
10000000.104477612
10000000.049751244
9999999.696517413
10000000.149253732
9999999.950248756
10000000.049751244
10000000.054726368
9999999.845771143
10000000.049751244
10000000.104477612
9999999.945273632
10000000.104477612
9999999.7960199
10000000.099502487
9999999.900497513
10000000.303482587
9999999.850746268
10000000.049751244
9999999.895522388
10000000.154228855
9999999.845771143
10000000.154228855
9999999.900497513
9999999.7960199
10000000.149253732
9999999.950248756
10000000
10000000.154228855
10000000
9999999.7960199
10000000.049751244
10000000.049751244
9999999.950248756
10000000.303482587
9999999.800995026
9999999.845771143
10000000.099502487
10000000.054726368
10000000
10000000.049751244
9999999.845771143
10000000
10000000.154228855
9999999.950248756
10000000
10000000
9999999.895522388
10000000.049751244
10000000.054726368
9999999.895522388
10000000.154228855
10000000
9999999.950248756
9999999.845771143
10000000.2039801
9999999.895522388
10000000.154228855
9999999.900497513
9999999.945273632
9999999.950248756
10000000
10000000.049751244
10000000.054726368
9999999.945273632
10000000
9999999.850746268
10000000.149253732
10000000
